,baseline_mnn,baseline_umap,baseline_lmds,baseline_pca,dummy_random,dummy_zeros
dims,50.0,10.0,10.0,10.0,100.0,1.0
iLISI_batch,0.22858507751945942,0.06955432725594972,0.1446908534188396,0.08525533702779937,0.4200653158618551,0.5706487930882854
cLISI_full,0.9800630249163418,0.9880633447892796,0.9732229080138877,0.9658684656072849,0.7603809013437984,0.6729513460816798
asw_batch,0.8972497829928643,0.6949869741827274,0.8396929947096516,0.856407971656335,0.9875845150670801,1.0
iLISI_site,0.36896760027436076,0.005627109077393684,0.15913861147959865,0.018632744662619254,0.7228691566741173,0.8451862261193915
asw_batch_site,0.9055404857712939,0.5458380227924351,0.8031839919472651,0.7583657370597828,0.9956748304175133,1.0
